0	1157	0.64441
0.005	1157	0.66029
0.01	1157	0.66475
0.02	1157	0.66774
0.03	1157	0.66831
0.04	1157	0.66810
0.05	1157	0.66742
0.1	1157	0.66185
0	1437	0.77417
0.005	1437	0.76945
0.01	1437	0.76150
0.02	1437	0.74807
0.03	1437	0.73636
0.04	1437	0.72560
0.05	1437	0.71539
0.1	1437	0.67140
0	197	0.55489
0.005	197	0.61026
0.01	197	0.62118
0.02	197	0.63132
0.03	197	0.63464
0.04	197	0.63461
0.05	197	0.63356
0.1	197	0.62063
0	669	0.65081
0.005	669	0.68209
0.01	669	0.69163
0.02	669	0.69891
0.03	669	0.70130
0.04	669	0.70202
0.05	669	0.70203
0.1	669	0.69795
0	1141	0.75997
0.005	1141	0.76038
0.01	1141	0.75575
0.02	1141	0.74459
0.03	1141	0.73327
0.04	1141	0.72253
0.05	1141	0.71228
0.1	1141	0.66782
0	708	0.39267
0.005	708	0.44778
0.01	708	0.46300
0.02	708	0.47281
0.03	708	0.47397
0.04	708	0.47245
0.05	708	0.46934
0.1	708	0.44785
0	736	0.61812
0.005	736	0.64960
0.01	736	0.65522
0.02	736	0.65377
0.03	736	0.64805
0.04	736	0.64133
0.05	736	0.63473
0.1	736	0.60633
0	119	0.76955
0.005	119	0.77259
0.01	119	0.77269
0.02	119	0.76808
0.03	119	0.76112
0.04	119	0.75244
0.05	119	0.74304
0.1	119	0.68638
0	255	0.60494
0.005	255	0.73172
0.01	255	0.74092
0.02	255	0.74133
0.03	255	0.73704
0.04	255	0.73178
0.05	255	0.72587
0.1	255	0.69768
0	3089	0.79815
0.005	3089	0.79993
0.01	3089	0.79760
0.02	3089	0.79059
0.03	3089	0.78282
0.04	3089	0.77521
0.05	3089	0.76790
0.1	3089	0.73882
0	2094	0.73154
0.005	2094	0.73368
0.01	2094	0.73054
0.02	2094	0.72243
0.03	2094	0.71449
0.04	2094	0.70745
0.05	2094	0.70112
0.1	2094	0.67930
0	254	0.37282
0.005	254	0.49722
0.01	254	0.52134
0.02	254	0.54137
0.03	254	0.55009
0.04	254	0.55510
0.05	254	0.55825
0.1	254	0.56318
0	92	0.41168
0.005	92	0.49635
0.01	92	0.50551
0.02	92	0.50016
0.03	92	0.49002
0.04	92	0.48003
0.05	92	0.47105
0.1	92	0.43547
0	1434	0.73334
0.005	1434	0.73595
0.01	1434	0.73108
0.02	1434	0.71919
0.03	1434	0.70753
0.04	1434	0.69675
0.05	1434	0.68653
0.1	1434	0.64525
0	978	0.70353
0.005	978	0.72077
0.01	978	0.72295
0.02	978	0.72081
0.03	978	0.71630
0.04	978	0.71125
0.05	978	0.70623
0.1	978	0.68194
0	1078	0.53485
0.005	1078	0.55318
0.01	1078	0.55498
0.02	1078	0.55071
0.03	1078	0.54332
0.04	1078	0.53470
0.05	1078	0.52555
0.1	1078	0.47938
0	114	0.75515
0.005	114	0.77646
0.01	114	0.77243
0.02	114	0.75677
0.03	114	0.74002
0.04	114	0.72333
0.05	114	0.70715
0.1	114	0.63585
0	59	0.60321
0.005	59	0.64589
0.01	59	0.65092
0.02	59	0.64916
0.03	59	0.64281
0.04	59	0.63248
0.05	59	0.62027
0.1	59	0.52632
0	1447	0.76060
0.005	1447	0.76744
0.01	1447	0.76319
0.02	1447	0.75186
0.03	1447	0.74018
0.04	1447	0.72876
0.05	1447	0.71822
0.1	1447	0.67649
0	1985	0.78987
0.005	1985	0.79316
0.01	1985	0.79084
0.02	1985	0.78445
0.03	1985	0.77827
0.04	1985	0.77262
0.05	1985	0.76777
0.1	1985	0.74955
0	672	0.54313
0.005	672	0.57682
0.01	672	0.58602
0.02	672	0.59154
0.03	672	0.59160
0.04	672	0.58996
0.05	672	0.58762
0.1	672	0.57276
0	1869	0.75099
0.005	1869	0.75522
0.01	1869	0.75351
0.02	1869	0.74691
0.03	1869	0.73918
0.04	1869	0.73112
0.05	1869	0.72321
0.1	1869	0.68684
0	833	0.48912
0.005	833	0.50705
0.01	833	0.50978
0.02	833	0.50634
0.03	833	0.49938
0.04	833	0.49148
0.05	833	0.48305
0.1	833	0.44170
0	118	0.67157
0.005	118	0.74102
0.01	118	0.74415
0.02	118	0.73561
0.03	118	0.72341
0.04	118	0.71002
0.05	118	0.69606
0.1	118	0.62153
0	118	0.70756
0.005	118	0.69669
0.01	118	0.68827
0.02	118	0.67530
0.03	118	0.66226
0.04	118	0.64770
0.05	118	0.63336
0.1	118	0.55703
0	244	0.48927
0.005	244	0.66487
0.01	244	0.69107
0.02	244	0.70846
0.03	244	0.71494
0.04	244	0.71769
0.05	244	0.71859
0.1	244	0.71492
0	988	0.68236
0.005	988	0.69727
0.01	988	0.69840
0.02	988	0.69226
0.03	988	0.68313
0.04	988	0.67353
0.05	988	0.66424
0.1	988	0.62771
0	1443	0.78420
0.005	1443	0.78370
0.01	1443	0.77642
0.02	1443	0.76195
0.03	1443	0.74890
0.04	1443	0.73702
0.05	1443	0.72630
0.1	1443	0.68337
0	104	0.50231
0.005	104	0.58989
0.01	104	0.60569
0.02	104	0.60640
0.03	104	0.59837
0.04	104	0.58765
0.05	104	0.57653
0.1	104	0.52363
0	160	0.65493
0.005	160	0.72359
0.01	160	0.73930
0.02	160	0.75021
0.03	160	0.75157
0.04	160	0.74898
0.05	160	0.74484
0.1	160	0.71579
0	1140	0.67817
0.005	1140	0.68184
0.01	1140	0.67902
0.02	1140	0.67169
0.03	1140	0.66415
0.04	1140	0.65724
0.05	1140	0.65082
0.1	1140	0.62434
0	1262	0.75045
0.005	1262	0.76474
0.01	1262	0.76976
0.02	1262	0.77287
0.03	1262	0.77295
0.04	1262	0.77225
0.05	1262	0.77104
0.1	1262	0.76376
0	969	0.66273
0.005	969	0.67905
0.01	969	0.68368
0.02	969	0.68473
0.03	969	0.68228
0.04	969	0.67834
0.05	969	0.67346
0.1	969	0.64262
0	119	0.61033
0.005	119	0.66752
0.01	119	0.67610
0.02	119	0.67663
0.03	119	0.67226
0.04	119	0.66566
0.05	119	0.65799
0.1	119	0.61090
0	254	0.61426
0.005	254	0.74235
0.01	254	0.74975
0.02	254	0.74675
0.03	254	0.74085
0.04	254	0.73500
0.05	254	0.72950
0.1	254	0.70835
